Email,SMS,WHATSAPP,FIRSTNAME,LASTNAME,TESTBOOL,GENDER,DOB,TESTTEXT,TESTNUMBER,ORDER_PRICE,TESTTRANSACTIONALTEXT,TESTCALCULATED
testimport+79@brevo.com,919897961079,919897961079,test79,import79,no,2,2021-05-13,test79,79,79,test79,79
testimport+80@brevo.com,919897961080,919897961080,test80,import80,yes,1,13-05-2021,test80,80,80,test80,80
testimport+81@brevo.com,919897961081,919897961081,test81,import81,no,2,2021-05-13,test81,81,81,test81,81
testimport+82@brevo.com,919897961082,919897961082,test82,import82,yes,1,13-05-2021,test82,82,82,test82,82
testimport+83@brevo.com,919897961083,919897961083,test83,import83,no,2,2021-05-13,test83,83,83,test83,83
testimport+84@brevo.com,919897961084,919897961084,test84,import84,yes,1,13-05-2021,test84,84,84,test84,84
testimport+85@brevo.com,919897961085,919897961085,test85,import85,no,2,2021-05-13,test85,85,85,test85,85
testimport+86@brevo.com,919897961086,919897961086,test86,import86,yes,1,13-05-2021,test86,86,86,test86,86
testimport+87@brevo.com,919897961087,919897961087,test87,import87,no,2,2021-05-13,test87,87,87,test87,87
testimport+88@brevo.com,919897961088,919897961088,test88,import88,yes,1,13-05-2021,test88,88,88,test88,88
testimport+89@brevo.com,919897961089,919897961089,test89,import89,no,2,2021-05-13,test89,89,89,test89,89
testimport+90@brevo.com,919897961090,919897961090,test90,import90,yes,1,13-05-2021,test90,90,90,test90,90
testimport+91@brevo.com,919897961091,919897961091,test91,import91,no,2,2021-05-13,test91,91,91,test91,91
testimport+92@brevo.com,919897961092,919897961092,test92,import92,yes,1,13-05-2021,test92,92,92,test92,92
testimport+93@brevo.com,919897961093,919897961093,test93,import93,no,2,2021-05-13,test93,93,93,test93,93
testimport+94@brevo.com,919897961094,919897961094,test94,import94,yes,1,13-05-2021,test94,94,94,test94,94
testimport+95@brevo.com,919897961095,919897961095,test95,import95,no,2,2021-05-13,test95,95,95,test95,95
testimport+96@brevo.com,919897961096,919897961096,test96,import96,yes,1,13-05-2021,test96,96,96,test96,96
testimport+97@brevo.com,919897961097,919897961097,test97,import97,no,2,2021-05-13,test97,97,97,test97,97
testimport+98@brevo.com,919897961098,919897961098,test98,import98,yes,1,13-05-2021,test98,98,98,test98,98
testimport+99@brevo.com,919897961099,919897961099,test99,import99,no,2,2021-05-13,test99,99,99,test99,99
